,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,STATION CODE,LOCATIONS,State
0,166.84645065061395,0.0,0.0,2050.0,2050.0,2050.0,249617887.3984283,125192171.16525713,77111928.87687077,2.5,2.5,2.5,23.0,23.0,23.0,400.0,400.0,400.0,7.0,7.0,7.0,1513.0,"B W. - KRISHNA MURTHY, D.NO. 48-16-43 AUTONAGAR VIJJAYAWADA, KRISNA DIST., A.P.",andhra_pradesh
1,234.27516659541863,31.02760335976268,22.78772162205149,1639.0,1639.0,1639.0,0.0,19257631.186791852,0.0,1.2,1.2,1.2,23.0,23.0,23.0,400.0,400.0,400.0,7.3,7.3,7.3,1514.0,"B/W. - VIJAY KUMAR AUTONAGAR VIJAYAWADA, KRISHNA DIST., A.P.",andhra_pradesh
2,0.6,0.6,0.6,1569.0,1569.0,1569.0,0.0,178447665.1209825,12048834.635600802,2.8,2.8,2.8,19.0,19.0,19.0,400.0,400.0,400.0,7.4,7.4,7.4,1515.0,"B/W. - NAGARAM(V), PALVONCHA, KHAMMAM DIST., A.P.",andhra_pradesh
3,0.0,55.28205034898757,0.0,1119.0,1119.0,1119.0,182888978.38591143,56510506.98429114,25916757.40411458,0.5,0.5,0.5,29.0,29.0,29.0,400.0,400.0,400.0,7.4,7.4,7.4,1516.0,B W OF NAVLOK GARDENS NELLORE AP,andhra_pradesh
4,1.0,0.9,0.8,1950.0,1687.0,1520.0,0.0,0.0,0.0,8.0,4.6,3.1,30.6,28.5,27.0,40.0,32.0,20.0,8.1,7.9,7.2,1517.0,"B/W. - TUNGBHADRA RIVER NEAR KURNOOL, A.P.",andhra_pradesh
5,1.6,1.4,1.0,5000.0,3720.0,2150.0,0.0,0.0,0.0,14.0,8.4,4.0,35.0,29.6,27.0,50.0,36.0,20.0,8.2,7.9,7.8,1518.0,"B/W. - NANDYAL, KURNOOL DIST., A.P.",andhra_pradesh
6,1.8,1.4,1.1,1510.0,1131.0,730.0,0.0,0.0,0.0,3.1,1.7,0.0,37.0,29.2,27.0,30.0,30.0,30.0,8.1,7.9,7.8,1519.0,"B/W. - NAGIRI, CHITTOOR DIST., A.P",andhra_pradesh
7,1.5,1.3,1.1,1100.0,966.0,723.0,0.0,0.0,0.0,11.5,4.6,2.1,39.5,31.1,27.0,40.0,34.0,20.0,8.3,7.9,7.6,1520.0,"B/W. - SWARNAMUKHI RIVER, SRIKALAHASTI, CHITTOOR DIST., A.P.",andhra_pradesh
8,1.0,1.0,1.0,1790.0,1790.0,1790.0,9.0,9.0,9.0,5.4,5.4,5.4,25.0,25.0,25.0,120.0,120.0,120.0,7.7,7.7,7.7,1521.0,"O/W. - NEAR RAMA TEMPLE , WARD NO.2 , MINDI , VISAKHAPATNAM, A.P",andhra_pradesh
9,1.2,1.1,1.0,1343.0,962.0,771.0,23.0,16.0,4.0,1.8,1.4,1.1,29.0,26.0,25.0,150.0,84.0,4.0,7.7,7.4,7.2,1522.0,"O/W. PEDDANUYYI - VIZIANAGARAM, A.P",andhra_pradesh
